school_year,school_code,school_name,school_lvl,school_poverty_quartile,sch_avg_prior_math_qrt,sch_avg_prior_ela_qrt
2017-2018,475,Poplar Middle School,Mid,Highest percentage of FRPL-eligible students,Second-lowest prior year math scores,Second-lowest prior year ELA scores
2018-2019,475,Poplar Middle School,Mid,Second-highest percentage of FRPL-eligible students,Second-lowest prior year math scores,Second-lowest prior year ELA scores
2014-2015,252,Bells Elementary School,Elem,Highest percentage of FRPL-eligible students,,
2014-2015,490,Hickory Middle School,Mid,Lowest percentage of FRPL-eligible students,,
2015-2016,455,Willow Middle School,Mid,Second-lowest percentage of FRPL-eligible students,Lowest average prior year math scores,Second-lowest prior year ELA scores
2016-2017,455,Willow Middle School,Mid,Second-lowest percentage of FRPL-eligible students,Second-lowest prior year math scores,Second-highest prior year ELA scores
2017-2018,460,Spruce Middle School,Mid,Highest percentage of FRPL-eligible students,Lowest average prior year math scores,Lowest average prior year ELA scores
2018-2019,460,Spruce Middle School,Mid,Highest percentage of FRPL-eligible students,Lowest average prior year math scores,Lowest average prior year ELA scores
2014-2015,405,Birch Middle School,Mid,Second-highest percentage of FRPL-eligible students,,
2015-2016,485,Dogwood Middle School,Mid,Lowest percentage of FRPL-eligible students,Second-highest prior year math scores,Highest prior year ELA scores
2016-2017,485,Dogwood Middle School,Mid,Lowest percentage of FRPL-eligible students,Highest prior year math scores,Highest prior year ELA scores
2016-2017,435,Redwood Middle School,Mid,Lowest percentage of FRPL-eligible students,Highest prior year math scores,Second-highest prior year ELA scores
2018-2019,490,Hickory Middle School,Mid,Lowest percentage of FRPL-eligible students,Second-highest prior year math scores,Second-highest prior year ELA scores
2014-2015,407,Apple Middle School,Mid,Lowest percentage of FRPL-eligible students,,
2015-2016,407,Apple Middle School,Mid,Lowest percentage of FRPL-eligible students,Highest prior year math scores,Second-highest prior year ELA scores
2016-2017,407,Apple Middle School,Mid,Lowest percentage of FRPL-eligible students,Highest prior year math scores,Highest prior year ELA scores
2017-2018,407,Apple Middle School,Mid,Second-lowest percentage of FRPL-eligible students,Second-highest prior year math scores,Second-highest prior year ELA scores
2014-2015,425,Fir Middle School,Mid,Second-lowest percentage of FRPL-eligible students,,
2015-2016,425,Fir Middle School,Mid,Second-lowest percentage of FRPL-eligible students,Highest prior year math scores,Highest prior year ELA scores
2016-2017,425,Fir Middle School,Mid,Lowest percentage of FRPL-eligible students,Highest prior year math scores,Highest prior year ELA scores
2017-2018,425,Fir Middle School,Mid,Second-lowest percentage of FRPL-eligible students,Highest prior year math scores,Highest prior year ELA scores
2018-2019,425,Fir Middle School,Mid,Lowest percentage of FRPL-eligible students,Highest prior year math scores,Highest prior year ELA scores
2014-2015,430,Forest Middle School,Mid,Lowest percentage of FRPL-eligible students,,
2015-2016,430,Forest Middle School,Mid,Lowest percentage of FRPL-eligible students,Highest prior year math scores,Highest prior year ELA scores
2016-2017,430,Forest Middle School,Mid,Lowest percentage of FRPL-eligible students,Highest prior year math scores,Highest prior year ELA scores
2017-2018,430,Forest Middle School,Mid,Lowest percentage of FRPL-eligible students,Highest prior year math scores,Highest prior year ELA scores
2015-2016,222,John McCarthy Elementary School,Elem,Lowest percentage of FRPL-eligible students,Second-highest prior year math scores,Highest prior year ELA scores
2015-2016,262,R. Hoare Elementary School,Elem,Second-highest percentage of FRPL-eligible students,Lowest average prior year math scores,Lowest average prior year ELA scores
2018-2019,285,Spring Hill Elementary School,Elem,Highest percentage of FRPL-eligible students,Lowest average prior year math scores,Second-lowest prior year ELA scores
2016-2017,279,Tarjan Elementary School,Elem,Highest percentage of FRPL-eligible students,Second-lowest prior year math scores,Second-lowest prior year ELA scores
2016-2017,460,Spruce Middle School,Mid,Second-highest percentage of FRPL-eligible students,Lowest average prior year math scores,Lowest average prior year ELA scores
2014-2015,264,Swift Elementary School,Elem,Lowest percentage of FRPL-eligible students,,
2015-2016,264,Swift Elementary School,Elem,Lowest percentage of FRPL-eligible students,Second-highest prior year math scores,Second-highest prior year ELA scores
2014-2015,210,Grimes Elementary School,Elem,Highest percentage of FRPL-eligible students,,
2014-2015,206,Squaw Valley Elementary School,Elem,Highest percentage of FRPL-eligible students,,
2014-2015,222,John McCarthy Elementary School,Elem,Lowest percentage of FRPL-eligible students,,
2015-2016,288,Fircrest Elementary School,Elem,Highest percentage of FRPL-eligible students,Lowest average prior year math scores,Lowest average prior year ELA scores
2014-2015,315,Feigenbaum Elementary School,Elem,Second-highest percentage of FRPL-eligible students,,
2015-2016,315,Feigenbaum Elementary School,Elem,Second-lowest percentage of FRPL-eligible students,Second-lowest prior year math scores,Second-highest prior year ELA scores
2018-2019,240,Scott Elementary School,Elem,Second-lowest percentage of FRPL-eligible students,Highest prior year math scores,Second-highest prior year ELA scores
2014-2015,244,Backus Elementary School,Elem,Highest percentage of FRPL-eligible students,,
2015-2016,267,Cook Elementary School,Elem,Second-lowest percentage of FRPL-eligible students,Highest prior year math scores,Highest prior year ELA scores
2017-2018,244,Backus Elementary School,Elem,Second-highest percentage of FRPL-eligible students,Second-lowest prior year math scores,Second-lowest prior year ELA scores
2017-2018,435,Redwood Middle School,Mid,Lowest percentage of FRPL-eligible students,Highest prior year math scores,Highest prior year ELA scores
2018-2019,435,Redwood Middle School,Mid,Lowest percentage of FRPL-eligible students,Highest prior year math scores,Highest prior year ELA scores
2014-2015,265,Codd Elementary School,Elem,Lowest percentage of FRPL-eligible students,,
2015-2016,265,Codd Elementary School,Elem,Lowest percentage of FRPL-eligible students,Second-highest prior year math scores,Highest prior year ELA scores
2016-2017,265,Codd Elementary School,Elem,Lowest percentage of FRPL-eligible students,Second-highest prior year math scores,Highest prior year ELA scores
2017-2018,265,Codd Elementary School,Elem,Lowest percentage of FRPL-eligible students,Second-highest prior year math scores,Second-highest prior year ELA scores
2018-2019,265,Codd Elementary School,Elem,Lowest percentage of FRPL-eligible students,Second-highest prior year math scores,Second-highest prior year ELA scores
2018-2019,430,Forest Middle School,Mid,Lowest percentage of FRPL-eligible students,Highest prior year math scores,Highest prior year ELA scores
2015-2016,279,Tarjan Elementary School,Elem,Highest percentage of FRPL-eligible students,Lowest average prior year math scores,Lowest average prior year ELA scores
2015-2016,490,Hickory Middle School,Mid,Lowest percentage of FRPL-eligible students,Highest prior year math scores,Highest prior year ELA scores
2016-2017,490,Hickory Middle School,Mid,Lowest percentage of FRPL-eligible students,Second-highest prior year math scores,Second-highest prior year ELA scores
2014-2015,241,Tumbleweed Elementary School,Elem,Lowest percentage of FRPL-eligible students,,
2015-2016,241,Tumbleweed Elementary School,Elem,Lowest percentage of FRPL-eligible students,Highest prior year math scores,Highest prior year ELA scores
2017-2018,260,Robert W. Floyd Elementary School,Elem,Second-lowest percentage of FRPL-eligible students,Second-highest prior year math scores,Second-lowest prior year ELA scores
2018-2019,260,Robert W. Floyd Elementary School,Elem,Second-lowest percentage of FRPL-eligible students,Highest prior year math scores,Highest prior year ELA scores
2018-2019,470,Cedar Middle School,Mid,Second-highest percentage of FRPL-eligible students,Second-lowest prior year math scores,Second-lowest prior year ELA scores
2018-2019,227,Dijkstra Elementary School,Elem,Lowest percentage of FRPL-eligible students,Highest prior year math scores,Second-highest prior year ELA scores
2017-2018,270,Ritchie Elementary School,Elem,Highest percentage of FRPL-eligible students,Lowest average prior year math scores,Lowest average prior year ELA scores
2014-2015,455,Willow Middle School,Mid,Second-lowest percentage of FRPL-eligible students,,
2014-2015,280,John Cocke Elementary School,Elem,Second-highest percentage of FRPL-eligible students,,
2016-2017,280,John Cocke Elementary School,Elem,Second-lowest percentage of FRPL-eligible students,Lowest average prior year math scores,Second-lowest prior year ELA scores
2015-2016,270,Ritchie Elementary School,Elem,Highest percentage of FRPL-eligible students,Second-lowest prior year math scores,Lowest average prior year ELA scores
2016-2017,270,Ritchie Elementary School,Elem,Highest percentage of FRPL-eligible students,Lowest average prior year math scores,Lowest average prior year ELA scores
2014-2015,485,Dogwood Middle School,Mid,Lowest percentage of FRPL-eligible students,,
2017-2018,485,Dogwood Middle School,Mid,Lowest percentage of FRPL-eligible students,Highest prior year math scores,Highest prior year ELA scores
2018-2019,485,Dogwood Middle School,Mid,Lowest percentage of FRPL-eligible students,Highest prior year math scores,Highest prior year ELA scores
2014-2015,230,Newell Elementary School,Elem,Second-lowest percentage of FRPL-eligible students,,
2016-2017,448,Elderberry Middle School,Mid,Second-highest percentage of FRPL-eligible students,Lowest average prior year math scores,Lowest average prior year ELA scores
2018-2019,420,Buckeye Middle School,Mid,Second-lowest percentage of FRPL-eligible students,Second-lowest prior year math scores,Second-highest prior year ELA scores
2015-2016,307,Willets Elementary School,Elem,Highest percentage of FRPL-eligible students,Second-highest prior year math scores,Second-highest prior year ELA scores
2016-2017,307,Willets Elementary School,Elem,Second-highest percentage of FRPL-eligible students,Lowest average prior year math scores,Second-lowest prior year ELA scores
2017-2018,307,Willets Elementary School,Elem,Second-lowest percentage of FRPL-eligible students,Second-lowest prior year math scores,Second-lowest prior year ELA scores
2018-2019,307,Willets Elementary School,Elem,Second-lowest percentage of FRPL-eligible students,Second-highest prior year math scores,Second-highest prior year ELA scores
2018-2019,310,Lampson Elementary School,Elem,Second-lowest percentage of FRPL-eligible students,Second-highest prior year math scores,Second-highest prior year ELA scores
2018-2019,276,Hopcroft Elementary School,Elem,Second-lowest percentage of FRPL-eligible students,Second-highest prior year math scores,Second-highest prior year ELA scores
2014-2015,312,Hartmanis Stearns Elementary School,Elem,Lowest percentage of FRPL-eligible students,,
2015-2016,312,Hartmanis Stearns Elementary School,Elem,Lowest percentage of FRPL-eligible students,Highest prior year math scores,Highest prior year ELA scores
2017-2018,312,Hartmanis Stearns Elementary School,Elem,Lowest percentage of FRPL-eligible students,Highest prior year math scores,Highest prior year ELA scores
2015-2016,234,Herbert Simon Elementary School,Elem,Second-lowest percentage of FRPL-eligible students,Second-lowest prior year math scores,Second-highest prior year ELA scores
2016-2017,206,Squaw Valley Elementary School,Elem,Highest percentage of FRPL-eligible students,Second-highest prior year math scores,Lowest average prior year ELA scores
2018-2019,215,Wilkes Elementary School,Elem,Highest percentage of FRPL-eligible students,Lowest average prior year math scores,Lowest average prior year ELA scores
2016-2017,315,Feigenbaum Elementary School,Elem,Second-lowest percentage of FRPL-eligible students,Second-highest prior year math scores,Second-highest prior year ELA scores
2017-2018,315,Feigenbaum Elementary School,Elem,Second-lowest percentage of FRPL-eligible students,Highest prior year math scores,Highest prior year ELA scores
2018-2019,315,Feigenbaum Elementary School,Elem,Second-lowest percentage of FRPL-eligible students,Second-lowest prior year math scores,Second-lowest prior year ELA scores
2017-2018,275,Karp Elementary School,Elem,Second-highest percentage of FRPL-eligible students,Second-highest prior year math scores,Second-lowest prior year ELA scores
2014-2015,221,Wilkinson Elementary School,Elem,Lowest percentage of FRPL-eligible students,,
2016-2017,221,Wilkinson Elementary School,Elem,Lowest percentage of FRPL-eligible students,Highest prior year math scores,Highest prior year ELA scores
2015-2016,460,Spruce Middle School,Mid,Second-highest percentage of FRPL-eligible students,Lowest average prior year math scores,Lowest average prior year ELA scores
2014-2015,258,Sherman Elementary School,Elem,Second-highest percentage of FRPL-eligible students,,
2015-2016,258,Sherman Elementary School,Elem,Second-highest percentage of FRPL-eligible students,Second-lowest prior year math scores,Second-highest prior year ELA scores
2015-2016,261,Iverson Elementary School,Elem,Highest percentage of FRPL-eligible students,Second-highest prior year math scores,Lowest average prior year ELA scores
2016-2017,261,Iverson Elementary School,Elem,Highest percentage of FRPL-eligible students,Second-lowest prior year math scores,Lowest average prior year ELA scores
2018-2019,261,Iverson Elementary School,Elem,Highest percentage of FRPL-eligible students,Second-lowest prior year math scores,Lowest average prior year ELA scores
2014-2015,297,St. Helena Elementary School,Elem,Second-lowest percentage of FRPL-eligible students,,
2015-2016,297,St. Helena Elementary School,Elem,Highest percentage of FRPL-eligible students,Lowest average prior year math scores,Second-highest prior year ELA scores
2016-2017,297,St. Helena Elementary School,Elem,Highest percentage of FRPL-eligible students,Lowest average prior year math scores,Lowest average prior year ELA scores
2017-2018,297,St. Helena Elementary School,Elem,Highest percentage of FRPL-eligible students,Second-lowest prior year math scores,Lowest average prior year ELA scores
2014-2015,415,Chestnut Middle School,Mid,Second-highest percentage of FRPL-eligible students,,
2015-2016,415,Chestnut Middle School,Mid,Second-highest percentage of FRPL-eligible students,Lowest average prior year math scores,Lowest average prior year ELA scores
2017-2018,415,Chestnut Middle School,Mid,Second-highest percentage of FRPL-eligible students,Lowest average prior year math scores,Lowest average prior year ELA scores
2018-2019,415,Chestnut Middle School,Mid,Second-highest percentage of FRPL-eligible students,Lowest average prior year math scores,Lowest average prior year ELA scores
2016-2017,237,Rabin Elementary School,Elem,Second-highest percentage of FRPL-eligible students,Lowest average prior year math scores,Second-highest prior year ELA scores
2015-2016,321,Blum Elementary School,Elem,Second-lowest percentage of FRPL-eligible students,Second-highest prior year math scores,Second-lowest prior year ELA scores
2016-2017,321,Blum Elementary School,Elem,Second-lowest percentage of FRPL-eligible students,Second-lowest prior year math scores,Second-lowest prior year ELA scores
2014-2015,228,Charles W. Bachman Elementary School,Elem,Second-lowest percentage of FRPL-eligible students,,
2015-2016,228,Charles W. Bachman Elementary School,Elem,Second-lowest percentage of FRPL-eligible students,Second-lowest prior year math scores,Second-lowest prior year ELA scores
2016-2017,228,Charles W. Bachman Elementary School,Elem,Second-lowest percentage of FRPL-eligible students,Second-lowest prior year math scores,Second-lowest prior year ELA scores
2017-2018,228,Charles W. Bachman Elementary School,Elem,Second-lowest percentage of FRPL-eligible students,Second-lowest prior year math scores,Second-lowest prior year ELA scores
2018-2019,228,Charles W. Bachman Elementary School,Elem,Second-highest percentage of FRPL-eligible students,Second-lowest prior year math scores,Second-highest prior year ELA scores
2014-2015,225,Paris Elementary School,Elem,Second-highest percentage of FRPL-eligible students,,
2016-2017,225,Paris Elementary School,Elem,Highest percentage of FRPL-eligible students,Second-lowest prior year math scores,Lowest average prior year ELA scores
2016-2017,285,Spring Hill Elementary School,Elem,Highest percentage of FRPL-eligible students,Second-lowest prior year math scores,Second-lowest prior year ELA scores
2017-2018,285,Spring Hill Elementary School,Elem,Highest percentage of FRPL-eligible students,Second-lowest prior year math scores,Second-highest prior year ELA scores
2014-2015,418,Maple Middle School,Mid,Lowest percentage of FRPL-eligible students,,
2015-2016,418,Maple Middle School,Mid,Lowest percentage of FRPL-eligible students,Highest prior year math scores,Second-highest prior year ELA scores
2014-2015,240,Scott Elementary School,Elem,Second-lowest percentage of FRPL-eligible students,,
2015-2016,240,Scott Elementary School,Elem,Second-lowest percentage of FRPL-eligible students,Highest prior year math scores,Highest prior year ELA scores
2016-2017,240,Scott Elementary School,Elem,Second-lowest percentage of FRPL-eligible students,Second-highest prior year math scores,Second-highest prior year ELA scores
2017-2018,240,Scott Elementary School,Elem,Second-lowest percentage of FRPL-eligible students,Second-highest prior year math scores,Second-highest prior year ELA scores
2018-2019,231,Steve Jobs  Elementary School,Elem,Highest percentage of FRPL-eligible students,Lowest average prior year math scores,Lowest average prior year ELA scores
2015-2016,435,Redwood Middle School,Mid,Lowest percentage of FRPL-eligible students,Highest prior year math scores,Second-highest prior year ELA scores
2017-2018,267,Cook Elementary School,Elem,Second-lowest percentage of FRPL-eligible students,Highest prior year math scores,Highest prior year ELA scores
2018-2019,267,Cook Elementary School,Elem,Second-lowest percentage of FRPL-eligible students,Highest prior year math scores,Highest prior year ELA scores
2014-2015,276,Hopcroft Elementary School,Elem,Second-lowest percentage of FRPL-eligible students,,
2015-2016,276,Hopcroft Elementary School,Elem,Second-lowest percentage of FRPL-eligible students,Highest prior year math scores,Highest prior year ELA scores
2016-2017,276,Hopcroft Elementary School,Elem,Second-lowest percentage of FRPL-eligible students,Second-highest prior year math scores,Second-highest prior year ELA scores
2017-2018,276,Hopcroft Elementary School,Elem,Second-lowest percentage of FRPL-eligible students,Second-highest prior year math scores,Highest prior year ELA scores
2014-2015,295,Lawrence Elementary School,Elem,Lowest percentage of FRPL-eligible students,,
2018-2019,250,Placid Elementary School,Elem,Highest percentage of FRPL-eligible students,Second-lowest prior year math scores,Lowest average prior year ELA scores
2016-2017,475,Poplar Middle School,Mid,Second-highest percentage of FRPL-eligible students,Lowest average prior year math scores,Lowest average prior year ELA scores
2017-2018,455,Willow Middle School,Mid,Second-lowest percentage of FRPL-eligible students,Lowest average prior year math scores,Second-lowest prior year ELA scores
2015-2016,260,Robert W. Floyd Elementary School,Elem,Second-highest percentage of FRPL-eligible students,Second-lowest prior year math scores,Lowest average prior year ELA scores
2014-2015,282,Lush Elementary School,Elem,Second-highest percentage of FRPL-eligible students,,
2015-2016,282,Lush Elementary School,Elem,Second-highest percentage of FRPL-eligible students,Lowest average prior year math scores,Lowest average prior year ELA scores
2014-2015,450,Palm Middle School,Mid,Highest percentage of FRPL-eligible students,,
2015-2016,450,Palm Middle School,Mid,Second-highest percentage of FRPL-eligible students,Lowest average prior year math scores,Lowest average prior year ELA scores
2014-2015,480,Cherry Middle School,Mid,Lowest percentage of FRPL-eligible students,,
2015-2016,480,Cherry Middle School,Mid,Lowest percentage of FRPL-eligible students,Highest prior year math scores,Highest prior year ELA scores
2016-2017,480,Cherry Middle School,Mid,Lowest percentage of FRPL-eligible students,Highest prior year math scores,Highest prior year ELA scores
2017-2018,480,Cherry Middle School,Mid,Lowest percentage of FRPL-eligible students,Highest prior year math scores,Highest prior year ELA scores
2018-2019,480,Cherry Middle School,Mid,Lowest percentage of FRPL-eligible students,Highest prior year math scores,Highest prior year ELA scores
2015-2016,221,Wilkinson Elementary School,Elem,Lowest percentage of FRPL-eligible students,Highest prior year math scores,Highest prior year ELA scores
