school_year,school_code,school_name,school_lvl,school_poverty_quartile,sch_avg_prior_math_qrt,sch_avg_prior_ela_qrt
2018-2019,282,Lush Elementary School,Elem,Second-highest percentage of FRPL-eligible students,Lowest average prior year math scores,Lowest average prior year ELA scores
2016-2017,241,Tumbleweed Elementary School,Elem,Lowest percentage of FRPL-eligible students,Highest prior year math scores,Highest prior year ELA scores
2017-2018,241,Tumbleweed Elementary School,Elem,Second-lowest percentage of FRPL-eligible students,Highest prior year math scores,Highest prior year ELA scores
2018-2019,241,Tumbleweed Elementary School,Elem,Lowest percentage of FRPL-eligible students,Second-highest prior year math scores,Highest prior year ELA scores
2014-2015,416,Elm Middle School,Mid,Highest percentage of FRPL-eligible students,,
2015-2016,416,Elm Middle School,Mid,Second-highest percentage of FRPL-eligible students,Second-lowest prior year math scores,Second-lowest prior year ELA scores
2014-2015,236,Grand Junction Elementary School,Elem,,,
2015-2016,236,Grand Junction Elementary School,Elem,Second-lowest percentage of FRPL-eligible students,,
2016-2017,236,Grand Junction Elementary School,Elem,Second-lowest percentage of FRPL-eligible students,Second-lowest prior year math scores,Second-highest prior year ELA scores
2017-2018,236,Grand Junction Elementary School,Elem,Second-lowest percentage of FRPL-eligible students,Second-highest prior year math scores,Second-lowest prior year ELA scores
2018-2019,236,Grand Junction Elementary School,Elem,Second-lowest percentage of FRPL-eligible students,Second-lowest prior year math scores,Second-lowest prior year ELA scores
2015-2016,465,Holly Middle School,Mid,Second-highest percentage of FRPL-eligible students,Second-lowest prior year math scores,Second-lowest prior year ELA scores
2017-2018,250,Placid Elementary School,Elem,Highest percentage of FRPL-eligible students,Second-lowest prior year math scores,Second-lowest prior year ELA scores
2014-2015,310,Lampson Elementary School,Elem,Lowest percentage of FRPL-eligible students,,
2017-2018,310,Lampson Elementary School,Elem,Lowest percentage of FRPL-eligible students,Second-highest prior year math scores,Second-lowest prior year ELA scores
2017-2018,450,Palm Middle School,Mid,Second-highest percentage of FRPL-eligible students,Lowest average prior year math scores,Lowest average prior year ELA scores
2014-2015,217,Joseph Bunker Elementary School,Elem,Lowest percentage of FRPL-eligible students,,
2016-2017,217,Joseph Bunker Elementary School,Elem,Lowest percentage of FRPL-eligible students,Highest prior year math scores,Highest prior year ELA scores
2014-2015,285,Spring Hill Elementary School,Elem,Highest percentage of FRPL-eligible students,,
2015-2016,214,Perlis Elementary School,Elem,Second-lowest percentage of FRPL-eligible students,Second-highest prior year math scores,Second-highest prior year ELA scores
2016-2017,214,Perlis Elementary School,Elem,Second-lowest percentage of FRPL-eligible students,Second-highest prior year math scores,Second-highest prior year ELA scores
2017-2018,230,Newell Elementary School,Elem,Second-lowest percentage of FRPL-eligible students,Second-highest prior year math scores,Second-highest prior year ELA scores
2018-2019,230,Newell Elementary School,Elem,Second-lowest percentage of FRPL-eligible students,Second-lowest prior year math scores,Second-highest prior year ELA scores
2015-2016,324,Pnueli Elementary School,Elem,Highest percentage of FRPL-eligible students,Second-lowest prior year math scores,Second-lowest prior year ELA scores
2015-2016,229,Knuth Elementary School,Elem,Second-lowest percentage of FRPL-eligible students,Second-highest prior year math scores,Second-highest prior year ELA scores
2018-2019,229,Knuth Elementary School,Elem,Second-lowest percentage of FRPL-eligible students,Second-highest prior year math scores,Highest prior year ELA scores
2018-2019,206,Squaw Valley Elementary School,Elem,Highest percentage of FRPL-eligible students,Second-highest prior year math scores,Second-lowest prior year ELA scores
2017-2018,210,Grimes Elementary School,Elem,Highest percentage of FRPL-eligible students,Second-lowest prior year math scores,Second-lowest prior year ELA scores
2018-2019,295,Lawrence Elementary School,Elem,Lowest percentage of FRPL-eligible students,Highest prior year math scores,Highest prior year ELA scores
2018-2019,450,Palm Middle School,Mid,Highest percentage of FRPL-eligible students,Lowest average prior year math scores,Lowest average prior year ELA scores
2014-2015,317,Reddy Elementary School,Elem,Lowest percentage of FRPL-eligible students,,
2015-2016,317,Reddy Elementary School,Elem,Lowest percentage of FRPL-eligible students,Second-highest prior year math scores,Second-highest prior year ELA scores
2016-2017,317,Reddy Elementary School,Elem,Lowest percentage of FRPL-eligible students,Highest prior year math scores,Highest prior year ELA scores
2017-2018,317,Reddy Elementary School,Elem,Lowest percentage of FRPL-eligible students,Second-highest prior year math scores,Second-highest prior year ELA scores
2017-2018,206,Squaw Valley Elementary School,Elem,Highest percentage of FRPL-eligible students,Second-lowest prior year math scores,Lowest average prior year ELA scores
2016-2017,310,Lampson Elementary School,Elem,Second-lowest percentage of FRPL-eligible students,Highest prior year math scores,Second-highest prior year ELA scores
2014-2015,420,Buckeye Middle School,Mid,Second-lowest percentage of FRPL-eligible students,,
2015-2016,420,Buckeye Middle School,Mid,Second-lowest percentage of FRPL-eligible students,Second-highest prior year math scores,Second-lowest prior year ELA scores
2014-2015,261,Iverson Elementary School,Elem,Second-highest percentage of FRPL-eligible students,,
2018-2019,303,Kahan Elementary School,Elem,Second-highest percentage of FRPL-eligible students,Highest prior year math scores,Second-highest prior year ELA scores
2018-2019,416,Elm Middle School,Mid,Highest percentage of FRPL-eligible students,Lowest average prior year math scores,Lowest average prior year ELA scores
2014-2015,250,Placid Elementary School,Elem,Highest percentage of FRPL-eligible students,,
2015-2016,250,Placid Elementary School,Elem,Highest percentage of FRPL-eligible students,Second-highest prior year math scores,Second-lowest prior year ELA scores
2017-2018,215,Wilkes Elementary School,Elem,Highest percentage of FRPL-eligible students,Lowest average prior year math scores,Lowest average prior year ELA scores
2014-2015,324,Pnueli Elementary School,Elem,Highest percentage of FRPL-eligible students,,
2015-2016,410,Cypress Middle School,Mid,Second-highest percentage of FRPL-eligible students,Lowest average prior year math scores,Second-lowest prior year ELA scores
2018-2019,407,Apple Middle School,Mid,Second-lowest percentage of FRPL-eligible students,Second-highest prior year math scores,Highest prior year ELA scores
2016-2017,273,Wirth Elementary School,Elem,Second-highest percentage of FRPL-eligible students,Lowest average prior year math scores,Second-lowest prior year ELA scores
2017-2018,273,Wirth Elementary School,Elem,Second-highest percentage of FRPL-eligible students,Second-lowest prior year math scores,Second-highest prior year ELA scores
2014-2015,410,Cypress Middle School,Mid,Second-highest percentage of FRPL-eligible students,,
2018-2019,222,John McCarthy Elementary School,Elem,Lowest percentage of FRPL-eligible students,Highest prior year math scores,Highest prior year ELA scores
2016-2017,244,Backus Elementary School,Elem,Highest percentage of FRPL-eligible students,Highest prior year math scores,Highest prior year ELA scores
2016-2017,268,Thompson Elementary School,Elem,Lowest percentage of FRPL-eligible students,Highest prior year math scores,Highest prior year ELA scores
2017-2018,405,Birch Middle School,Mid,Second-highest percentage of FRPL-eligible students,Lowest average prior year math scores,Lowest average prior year ELA scores
2016-2017,470,Cedar Middle School,Mid,Second-highest percentage of FRPL-eligible students,Lowest average prior year math scores,Second-lowest prior year ELA scores
2017-2018,470,Cedar Middle School,Mid,Second-highest percentage of FRPL-eligible students,Second-lowest prior year math scores,Second-lowest prior year ELA scores
2016-2017,260,Robert W. Floyd Elementary School,Elem,Second-highest percentage of FRPL-eligible students,Highest prior year math scores,Second-highest prior year ELA scores
2016-2017,258,Sherman Elementary School,Elem,Second-highest percentage of FRPL-eligible students,Second-lowest prior year math scores,Second-lowest prior year ELA scores
2018-2019,258,Sherman Elementary School,Elem,Second-highest percentage of FRPL-eligible students,Lowest average prior year math scores,Second-lowest prior year ELA scores
2017-2018,261,Iverson Elementary School,Elem,Highest percentage of FRPL-eligible students,Second-lowest prior year math scores,Second-lowest prior year ELA scores
2016-2017,420,Buckeye Middle School,Mid,Second-lowest percentage of FRPL-eligible students,Second-highest prior year math scores,Second-highest prior year ELA scores
2018-2019,273,Wirth Elementary School,Elem,Second-highest percentage of FRPL-eligible students,Second-lowest prior year math scores,Second-lowest prior year ELA scores
2016-2017,465,Holly Middle School,Mid,Second-highest percentage of FRPL-eligible students,Second-lowest prior year math scores,Second-lowest prior year ELA scores
2018-2019,465,Holly Middle School,Mid,Highest percentage of FRPL-eligible students,Second-lowest prior year math scores,Second-lowest prior year ELA scores
2015-2016,217,Joseph Bunker Elementary School,Elem,Lowest percentage of FRPL-eligible students,Highest prior year math scores,Highest prior year ELA scores
2017-2018,295,Lawrence Elementary School,Elem,Lowest percentage of FRPL-eligible students,Highest prior year math scores,Highest prior year ELA scores
2014-2015,216,Hamming Elementary School,Elem,Highest percentage of FRPL-eligible students,,
2015-2016,305,Fernando J. Corbato Elementary School,Elem,Second-lowest percentage of FRPL-eligible students,Lowest average prior year math scores,Second-lowest prior year ELA scores
2016-2017,305,Fernando J. Corbato Elementary School,Elem,Second-highest percentage of FRPL-eligible students,Lowest average prior year math scores,Second-lowest prior year ELA scores
2018-2019,305,Fernando J. Corbato Elementary School,Elem,Second-lowest percentage of FRPL-eligible students,Highest prior year math scores,Second-highest prior year ELA scores
2014-2015,321,Blum Elementary School,Elem,Second-lowest percentage of FRPL-eligible students,,
2018-2019,321,Blum Elementary School,Elem,Lowest percentage of FRPL-eligible students,Second-highest prior year math scores,Second-highest prior year ELA scores
2015-2016,405,Birch Middle School,Mid,Second-highest percentage of FRPL-eligible students,Lowest average prior year math scores,Lowest average prior year ELA scores
2018-2019,252,Bells Elementary School,Elem,Highest percentage of FRPL-eligible students,Second-lowest prior year math scores,Second-lowest prior year ELA scores
2016-2017,303,Kahan Elementary School,Elem,Second-highest percentage of FRPL-eligible students,Second-lowest prior year math scores,Lowest average prior year ELA scores
2017-2018,303,Kahan Elementary School,Elem,Second-lowest percentage of FRPL-eligible students,Second-lowest prior year math scores,Second-highest prior year ELA scores
2015-2016,244,Backus Elementary School,Elem,Highest percentage of FRPL-eligible students,Second-highest prior year math scores,Second-lowest prior year ELA scores
2016-2017,324,Pnueli Elementary School,Elem,Highest percentage of FRPL-eligible students,Second-lowest prior year math scores,Lowest average prior year ELA scores
2017-2018,324,Pnueli Elementary School,Elem,Highest percentage of FRPL-eligible students,Second-highest prior year math scores,Second-lowest prior year ELA scores
2018-2019,324,Pnueli Elementary School,Elem,Highest percentage of FRPL-eligible students,Second-highest prior year math scores,Second-lowest prior year ELA scores
2016-2017,410,Cypress Middle School,Mid,Second-lowest percentage of FRPL-eligible students,Second-lowest prior year math scores,Second-lowest prior year ELA scores
2018-2019,455,Willow Middle School,Mid,Second-lowest percentage of FRPL-eligible students,Second-highest prior year math scores,Second-lowest prior year ELA scores
2014-2015,270,Ritchie Elementary School,Elem,Highest percentage of FRPL-eligible students,,
2018-2019,270,Ritchie Elementary School,Elem,Highest percentage of FRPL-eligible students,Lowest average prior year math scores,Lowest average prior year ELA scores
2017-2018,219,Minsky Elementary School,Elem,Second-lowest percentage of FRPL-eligible students,Highest prior year math scores,Highest prior year ELA scores
2015-2016,273,Wirth Elementary School,Elem,Highest percentage of FRPL-eligible students,Second-lowest prior year math scores,Second-highest prior year ELA scores
2016-2017,229,Knuth Elementary School,Elem,Second-lowest percentage of FRPL-eligible students,Second-highest prior year math scores,Second-lowest prior year ELA scores
2017-2018,229,Knuth Elementary School,Elem,Second-lowest percentage of FRPL-eligible students,Highest prior year math scores,Highest prior year ELA scores
2017-2018,300,Sutherland Elementary School,Elem,Highest percentage of FRPL-eligible students,Lowest average prior year math scores,Lowest average prior year ELA scores
2016-2017,250,Placid Elementary School,Elem,Highest percentage of FRPL-eligible students,Second-lowest prior year math scores,Lowest average prior year ELA scores
2017-2018,410,Cypress Middle School,Mid,Second-highest percentage of FRPL-eligible students,Lowest average prior year math scores,Lowest average prior year ELA scores
2018-2019,410,Cypress Middle School,Mid,Second-highest percentage of FRPL-eligible students,Lowest average prior year math scores,Lowest average prior year ELA scores
2018-2019,210,Grimes Elementary School,Elem,Highest percentage of FRPL-eligible students,Lowest average prior year math scores,Lowest average prior year ELA scores
2016-2017,215,Wilkes Elementary School,Elem,Highest percentage of FRPL-eligible students,Second-highest prior year math scores,Second-lowest prior year ELA scores
2017-2018,234,Herbert Simon Elementary School,Elem,Second-lowest percentage of FRPL-eligible students,Second-highest prior year math scores,Second-highest prior year ELA scores
2017-2018,279,Tarjan Elementary School,Elem,Second-highest percentage of FRPL-eligible students,Lowest average prior year math scores,Lowest average prior year ELA scores
2014-2015,305,Fernando J. Corbato Elementary School,Elem,Second-lowest percentage of FRPL-eligible students,,
2015-2016,230,Newell Elementary School,Elem,Second-lowest percentage of FRPL-eligible students,Second-highest prior year math scores,Second-highest prior year ELA scores
2017-2018,420,Buckeye Middle School,Mid,Second-lowest percentage of FRPL-eligible students,Second-lowest prior year math scores,Second-highest prior year ELA scores
2014-2015,234,Herbert Simon Elementary School,Elem,Second-lowest percentage of FRPL-eligible students,,
2018-2019,249,Cypress Elementary School,Elem,Highest percentage of FRPL-eligible students,Second-lowest prior year math scores,Second-lowest prior year ELA scores
2015-2016,204,Sequoia Elementary School,Elem,Second-lowest percentage of FRPL-eligible students,Second-lowest prior year math scores,Second-lowest prior year ELA scores
2016-2017,204,Sequoia Elementary School,Elem,Second-lowest percentage of FRPL-eligible students,Second-lowest prior year math scores,Second-highest prior year ELA scores
2017-2018,204,Sequoia Elementary School,Elem,Second-lowest percentage of FRPL-eligible students,Lowest average prior year math scores,Second-highest prior year ELA scores
2018-2019,204,Sequoia Elementary School,Elem,Second-lowest percentage of FRPL-eligible students,Second-lowest prior year math scores,Second-highest prior year ELA scores
2015-2016,470,Cedar Middle School,Mid,Second-highest percentage of FRPL-eligible students,Lowest average prior year math scores,Lowest average prior year ELA scores
2016-2017,405,Birch Middle School,Mid,Second-highest percentage of FRPL-eligible students,Lowest average prior year math scores,Lowest average prior year ELA scores
2016-2017,230,Newell Elementary School,Elem,Second-lowest percentage of FRPL-eligible students,Second-highest prior year math scores,Second-highest prior year ELA scores
2014-2015,215,Wilkes Elementary School,Elem,Highest percentage of FRPL-eligible students,,
2014-2015,470,Cedar Middle School,Mid,Second-highest percentage of FRPL-eligible students,,
2017-2018,291,Bloomfield Elementary School,Elem,Second-highest percentage of FRPL-eligible students,Second-lowest prior year math scores,Second-highest prior year ELA scores
2015-2016,215,Wilkes Elementary School,Elem,Highest percentage of FRPL-eligible students,Second-highest prior year math scores,Second-lowest prior year ELA scores
2015-2016,216,Hamming Elementary School,Elem,Highest percentage of FRPL-eligible students,Second-highest prior year math scores,Second-lowest prior year ELA scores
2014-2015,303,Kahan Elementary School,Elem,Second-highest percentage of FRPL-eligible students,,
2015-2016,309,Milner Elementary School,Elem,Second-highest percentage of FRPL-eligible students,Second-highest prior year math scores,Second-lowest prior year ELA scores
2018-2019,309,Milner Elementary School,Elem,Second-highest percentage of FRPL-eligible students,Second-highest prior year math scores,Second-lowest prior year ELA scores
2016-2017,234,Herbert Simon Elementary School,Elem,Second-lowest percentage of FRPL-eligible students,Second-lowest prior year math scores,Second-highest prior year ELA scores
2016-2017,264,Swift Elementary School,Elem,Lowest percentage of FRPL-eligible students,Second-highest prior year math scores,Highest prior year ELA scores
2017-2018,264,Swift Elementary School,Elem,Lowest percentage of FRPL-eligible students,Highest prior year math scores,Second-highest prior year ELA scores
2018-2019,214,Perlis Elementary School,Elem,Second-lowest percentage of FRPL-eligible students,Lowest average prior year math scores,Second-lowest prior year ELA scores
2015-2016,295,Lawrence Elementary School,Elem,Lowest percentage of FRPL-eligible students,Highest prior year math scores,Highest prior year ELA scores
2018-2019,264,Swift Elementary School,Elem,Lowest percentage of FRPL-eligible students,Highest prior year math scores,Highest prior year ELA scores
2017-2018,214,Perlis Elementary School,Elem,Second-highest percentage of FRPL-eligible students,Second-highest prior year math scores,Second-highest prior year ELA scores
2016-2017,309,Milner Elementary School,Elem,Second-highest percentage of FRPL-eligible students,Second-highest prior year math scores,Second-lowest prior year ELA scores
2017-2018,309,Milner Elementary School,Elem,Second-highest percentage of FRPL-eligible students,Second-lowest prior year math scores,Second-lowest prior year ELA scores
2018-2019,268,Thompson Elementary School,Elem,Lowest percentage of FRPL-eligible students,Highest prior year math scores,Highest prior year ELA scores
2017-2018,268,Thompson Elementary School,Elem,Lowest percentage of FRPL-eligible students,Highest prior year math scores,Highest prior year ELA scores
2014-2015,279,Tarjan Elementary School,Elem,Highest percentage of FRPL-eligible students,,
2017-2018,217,Joseph Bunker Elementary School,Elem,Lowest percentage of FRPL-eligible students,Highest prior year math scores,Highest prior year ELA scores
2014-2015,291,Bloomfield Elementary School,Elem,Second-lowest percentage of FRPL-eligible students,,
2015-2016,303,Kahan Elementary School,Elem,Second-highest percentage of FRPL-eligible students,Lowest average prior year math scores,Lowest average prior year ELA scores
2015-2016,231,Steve Jobs  Elementary School,Elem,Highest percentage of FRPL-eligible students,Lowest average prior year math scores,Lowest average prior year ELA scores
2014-2015,268,Thompson Elementary School,Elem,Lowest percentage of FRPL-eligible students,,
2018-2019,312,Hartmanis Stearns Elementary School,Elem,Lowest percentage of FRPL-eligible students,Highest prior year math scores,Highest prior year ELA scores
2014-2015,204,Sequoia Elementary School,Elem,Second-lowest percentage of FRPL-eligible students,,
2018-2019,243,Chowchilla Elementary School,Elem,Second-lowest percentage of FRPL-eligible students,Lowest average prior year math scores,Second-lowest prior year ELA scores
2014-2015,229,Knuth Elementary School,Elem,Second-lowest percentage of FRPL-eligible students,,
2018-2019,217,Joseph Bunker Elementary School,Elem,Lowest percentage of FRPL-eligible students,Highest prior year math scores,Highest prior year ELA scores
2017-2018,243,Chowchilla Elementary School,Elem,Second-highest percentage of FRPL-eligible students,,
2014-2015,214,Perlis Elementary School,Elem,Second-lowest percentage of FRPL-eligible students,,
2015-2016,227,Dijkstra Elementary School,Elem,Lowest percentage of FRPL-eligible students,Second-highest prior year math scores,Highest prior year ELA scores
2016-2017,227,Dijkstra Elementary School,Elem,Lowest percentage of FRPL-eligible students,Second-highest prior year math scores,Second-highest prior year ELA scores
2017-2018,227,Dijkstra Elementary School,Elem,Lowest percentage of FRPL-eligible students,Highest prior year math scores,Highest prior year ELA scores
